elapsed_s,temp_c,power_w,sm_pct,mem_pct,clk_sm_mhz,clk_mem_mhz,mem_gb,pcirx_gbs
746,64,219.04,100,32,1770,9501,570,2,8
748,64,218.98,100,32,1770,9501,570,2,8
750,64,218.91,100,32,1770,9501,570,2,8
752,59,166.16,0,0,1770,9501,2236,2,8
754,61,200.80,100,100,1770,9501,2236,2,8
756,61,200.72,100,100,1770,9501,2236,2,8
758,61,200.62,100,100,1770,9501,2236,2,8
760,61,200.80,100,100,1770,9501,2236,2,8
762,61,200.76,100,100,1770,9501,2236,2,8
764,62,166.14,100,24,1770,9501,954,2,8
766,64,233.96,100,25,1770,9501,954,2,8
768,65,234.14,100,30,1770,9501,954,2,8
770,65,234.07,100,23,1770,9501,954,2,8
773,65,234.66,100,21,1770,9501,954,2,8
775,65,234.10,100,20,1770,9501,0,2,8
777,63,236.63,100,100,1770,9501,700,2,8
779,63,236.83,100,100,1770,9501,700,2,8
781,63,236.88,100,100,1770,9501,700,2,8
783,63,236.75,100,100,1770,9501,700,2,8
785,63,236.78,100,100,1770,9501,700,2,8
787,64,218.85,100,32,1770,9501,570,2,8
789,64,218.98,100,32,1770,9501,570,2,8
791,64,218.93,100,32,1770,9501,570,2,8
793,64,218.75,100,32,1770,9501,570,2,8
795,64,218.84,100,32,1770,9501,570,2,8
797,61,130.41,100,100,1770,9501,2236,2,8
799,61,200.58,100,100,1770,9501,2236,2,8
802,61,200.70,100,100,1770,9501,2236,2,8
804,61,200.73,100,100,1770,9501,2236,2,8
806,60,200.43,100,100,1770,9501,2236,2,8
808,60,200.40,100,100,1770,9501,2236,2,8
810,63,199.18,100,19,1770,9501,954,2,8
812,64,233.75,100,25,1770,9501,954,2,8
814,65,232.96,100,22,1770,9501,954,2,8
816,65,233.88,100,22,1770,9501,954,2,8
818,65,233.01,100,33,1770,9501,954,2,8
820,62,186.40,81,87,1770,9501,700,2,8
822,63,236.65,100,100,1770,9501,700,2,8
824,63,236.72,100,100,1770,9501,700,2,8
826,63,236.71,100,100,1770,9501,700,2,8
828,63,236.82,100,100,1770,9501,700,2,8
830,60,191.55,100,32,1770,9501,570,2,8
833,64,218.85,100,32,1770,9501,570,2,8
835,64,218.78,100,32,1770,9501,570,2,8
837,64,218.63,100,32,1770,9501,570,2,8
839,64,218.81,100,32,1770,9501,570,2,8
841,64,218.91,100,32,1770,9501,0,2,8
843,61,193.05,100,100,1770,9501,2236,2,8
845,61,200.76,100,100,1770,9501,2236,2,8
847,61,201.05,100,100,1770,9501,2236,2,8
849,61,201.01,100,100,1770,9501,2236,2,8
851,61,200.85,100,100,1770,9501,2236,2,8
853,61,200.79,100,100,1770,9501,18,2,8
855,64,232.93,100,19,1770,9501,954,2,8
857,65,232.84,100,25,1770,9501,954,2,8
860,65,234.03,100,24,1770,9501,954,2,8
862,65,235.42,100,24,1770,9501,954,2,8
